species	rate_e_mean	rate_e_lower	rate_e_upper
Brassomys albidens	0.00020224	0.00017527	0.00023140
Brucepattersonius griserufescens	0.00021228	0.00018302	0.00024118
Brucepattersonius guarani	0.00018404	0.00015771	0.00021109
Brucepattersonius igniventris	0.00020631	0.00017814	0.00023423
Brucepattersonius iheringi	0.00004288	0.00003027	0.00005524
Brucepattersonius misionensis	0.00022957	0.00020049	0.00025917
Brucepattersonius paradisus	0.00020982	0.00018127	0.00023794
Brucepattersonius soricinus	0.00020096	0.00017340	0.00022913
Bubalus arnee	0.00033654	0.00030109	0.00037353
Bubalus depressicornis	0.00035713	0.00031927	0.00039337
Bubalus mindorensis	0.00125494	0.00118159	0.00132463
Bubalus quarlesi	0.00034932	0.00031104	0.00038520
Budorcas taxicolor	0.00018078	0.00015511	0.00020722
Bullimus bagobus	0.00002797	0.00001864	0.00003900
Bullimus gamay	0.00020970	0.00018073	0.00023777
Bullimus luzonicus	0.00004406	0.00003162	0.00005678
Bunolagus monticularis	0.00127214	0.00120220	0.00134603
Bunomys andrewsi	0.00003321	0.00002179	0.00004417
Bunomys chrysocomus	0.00002112	0.00001223	0.00003051
Bunomys coelestis	0.00036900	0.00033029	0.00040541
Bunomys fratrorum	0.00018026	0.00015360	0.00020638
Bunomys karokophilus	0.00021627	0.00018730	0.00024489
Bunomys penitus	0.00004109	0.00002903	0.00005406
Bunomys prolatus	0.00038172	0.00034437	0.00042012
Bunomys torajae	0.00017853	0.00015296	0.00020491
Burramys parvus	0.00134627	0.00127483	0.00142241
Cabassous centralis	0.00019657	0.00016901	0.00022456
Cabassous chacoensis	0.00013804	0.00011606	0.00016215
Cabassous tatouay	0.00003014	0.00001987	0.00004096
Cabassous unicinctus	0.00003493	0.00002397	0.00004719
Cacajao calvus	0.00019262	0.00016593	0.00021910
Cacajao hosomi	0.00019625	0.00016949	0.00022420
Cacajao melanocephalus	0.00002802	0.00001795	0.00003838
Caenolestes caniventer	0.00016294	0.00013734	0.00018756
Caenolestes condorensis	0.00022098	0.00019172	0.00024872
Caenolestes convelatus	0.00018438	0.00015782	0.00021102
