species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2019	2011	2010	2006	2007	2005	2002	2014	2001	2003
Nomonyx dominicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oxyura leucocephala	EN	EN	EN	EN	EN	VU	T		EN	VU							EN						
Oxyura maccoa	NT	NT	NT	LC	LR/lc	LR/lc	LR/lc		VU			NT						NT					
Oxyura vittata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oxyura australis	NT	NT	NT	NT	LR/lc	LR/lc	LR/lc										NT						
Biziura lobata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Heteronetta atricapilla	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Stictonetta naevosa	LC	LC	LC	LC	LR/lc	VU	T			VU			LC										
Cygnus olor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cygnus atratus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cygnus melancoryphus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cygnus cygnus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cygnus buccinator	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Cygnus columbianus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Coscoroba coscoroba	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anser cygnoid	VU	VU	VU	EN	EN	VU	NT			VU							EN				VU		
Anser brachyrhynchus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Anser fabalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC			LC		LC										
Anser albifrons	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Anser erythropus	VU	VU	VU	VU	VU	VU	T	VU	VU	VU	VU	VU					VU						
Anser anser	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Anser indicus	LC	LC	LC	LC	LR/lc	LR/lc	NT	LC					LC										
Anser caerulescens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Anser rossii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anser canagicus	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc										NT						
Branta sandvicensis	VU	VU	VU	VU	VU	VU	T			VU								VU					
Branta canadensis	LC	LC	LC	NR	NR	NR	NR	LC					LC				LC						
Branta leucopsis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Branta bernicla	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Branta ruficollis	VU	EN	EN	VU	VU	VU	T		VU	VU	VU						VU	EN					
Cereopsis novaehollandiae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cyanochen cyanoptera	VU	VU	VU	NT	LR/nt	LR/lc	LR/lc										NT						
Chloephaga melanoptera	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Chloephaga picta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Chloephaga hybrida	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Chloephaga poliocephala	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Chloephaga rubidiceps	LC	LC	LC	LC	LR/lc	LR/nt	T						LC										
Neochen jubata	NT	NT	NT	NT	LR/nt	LR/nt	NT								NT		NT						
Alopochen aegyptiaca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Tadorna ferruginea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tadorna cana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tadorna tadornoides	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tadorna variegata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tadorna cristata	CR	CR	CR	CR	CR	CR	T	CR		CR			CR										
Tadorna tadorna	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Radjah radjah	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tachyeres pteneres	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Tachyeres leucocephalus	VU	VU	NT	NT	LR/nt	LR/nt	LR/lc	VU								NT	NT						
Tachyeres brachypterus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Tachyeres patachonicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Plectropterus gambensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cairina moschata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Asarcornis scutulata	EN	EN	EN	EN	EN	EN	T		EN	EN		EN					EN						
Pteronetta hartlaubii	LC	LC	LC	NT	LR/nt	LR/lc	LR/lc						LC						LC				
Nettapus pulchellus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Nettapus coromandelianus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Nettapus auritus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Callonetta leucophrys	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aix sponsa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aix galericulata	LC	LC	LC	LC	LR/lc	LR/nt	NT	LC					LC										
Chenonetta jubata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Amazonetta brasiliensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Merganetta armata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Hymenolaimus malacorhynchos	EN	EN	EN	EN	VU	VU	NT			VU		EN					EN			EN			
Salvadorina waigiuensis	VU	VU	VU	VU	VU	VU	LR/lc			VU								VU					
Lophonetta specularioides	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Speculanas specularis	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc		NT								NT						
Anas capensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mareca strepera	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mareca falcata	NT	NT	NT	LC	LR/lc	LR/lc	LR/lc				NT						NT						
Mareca penelope	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mareca americana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mareca sibilatrix	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas sparsa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas rubripes	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas fulvigula	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas platyrhynchos	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Anas wyvilliana	EN	EN	EN	EN	EN	VU	T			VU		EN			EN								
Anas laysanensis	CR	CR	CR	CR	VU	VU	T	CR		VU	CR	CR	CR			CR	CR						
Anas luzonica	VU	VU	VU	VU	VU	LR/nt	LR/lc										VU						
Anas superciliosa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas undulata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas melleri	EN	EN	EN	EN	EN	LR/nt	LR/lc					EN					EN						
Spatula discors	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spatula cyanoptera	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spatula smithii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spatula platalea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spatula rhynchotis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spatula clypeata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Anas bernieri	EN	EN	EN	EN	EN	EN	T			EN		EN					EN						
Anas gracilis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas castanea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas aucklandica	VU	VU	VU	VU	VU	NR	NR			VU		VU					VU						
Anas bahamensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas erythrorhyncha	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anas acuta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC			LC	LC	LC									
Anas eatoni	VU	VU	VU	VU	VU	LR/lc	LR/lc										VU						
Anas georgica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spatula querquedula	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Sibirionetta formosa	LC	LC	VU	VU	VU	VU	T			VU					LC		VU						
Spatula puna	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spatula versicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spatula hottentota	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Malacorhynchus membranaceus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Marmaronetta angustirostris	VU	VU	VU	VU	VU	VU	T			VU							VU						
Rhodonessa caryophyllacea	CR	CR	CR	CR	CR	CR	T	CR		CR	CR		CR				CR						
Netta rufina	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Netta peposaca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Netta erythrophthalma	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aythya ferina	VU	LC	LC	LC	LR/lc	LR/lc	LR/lc				VU		LC	VU									
Aythya valisineria	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aythya americana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aythya collaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aythya nyroca	NT	NT	NT	NT	LR/nt	VU	LR/lc		NT	VU				NT			NT						
Aythya innotata	CR	CR	CR	CR	CR	CR	T	CR		CR	CR	CR	CR		CR	CR	CR	CR					
Aythya baeri	CR	CR	EN	VU	VU	VU	T		CR	VU	CR	CR		CR									
Aythya australis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aythya fuligula	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Aythya novaeseelandiae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aythya marila	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Aythya affinis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Somateria mollissima	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc	NT			NT		LC										
Somateria spectabilis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Somateria fischeri	LC	LC	LC	LC	LR/lc	VU	LR/lc	NT		VU			LC										
Polysticta stelleri	VU	VU	VU	LC	LR/lc	VU	LR/lc	VU		VU		VU				VU	VU		VU				
Camptorhynchus labradorius	EX	EX	EX	EX	EX	EX	EX																
Histrionicus histrionicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Clangula hyemalis	VU	VU	LC	LC	LR/lc	LR/lc	LR/lc	VU					LC		LC								
Melanitta perspicillata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Bucephala clangula	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Bucephala islandica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Bucephala albeola	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mergellus albellus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Lophodytes cucullatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mergus octosetaceus	CR	CR	CR	CR	CR	CR	T	CR		CR	CR	CR	CR	CR		CR	CR						
Mergus serrator	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Mergus squamatus	EN	EN	EN	EN	VU	VU	T		EN	VU			EN				EN	EN		EN			
Mergus merganser	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Mergus australis	EX	EX	EX	EX	EX	EX	EX																
Turnix sylvaticus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Turnix maculosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Turnix tanki	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Turnix ocellatus	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Turnix suscitator	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Turnix nigricollis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Turnix melanogaster	NT	NT	VU	VU	VU	EN	T			EN								VU					
Turnix castanotus	LC	LC	NT	NT	LR/nt	VU	NT			VU													
Turnix olivii	EN	EN	EN	EN	EN	EN	T			EN													
Turnix worcesteri	DD	DD	DD	DD	DD	VU	T			VU													
Turnix everetti	VU	VU	VU	VU	VU	VU	T		VU	VU										VU			
Turnix pyrrhothorax	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Turnix velox	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Ortyxelos meiffrenii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Indicator maculatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Indicator variegatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Indicator indicator	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Indicator archipelagicus	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Indicator minor	LC	LC	LC	LC	LR/lc	LR/lc	NR						LC										
Indicator willcocksi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Indicator exilis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Indicator pumilio	NT	NT	NT	NT	LR/nt	LR/nt	NT					NT											
Indicator meliphilus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Indicator xanthonotus	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Melichneutes robustus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melignomon eisentrauti	DD	DD	DD	DD	DD	VU	T		NT	VU													
Melignomon zenkeri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Prodotiscus insignis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Prodotiscus zambesiae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Prodotiscus regulus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Jynx torquilla	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC		LC		LC										
Jynx ruficollis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus innominatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Picumnus aurifrons	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus pumilus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus lafresnayi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus fuscus	LC	LC	NT	NT	LR/nt	LR/lc	LR/lc					LC											
Picumnus sclateri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus squamulatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus spilogaster	VU	VU	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus minutissimus	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc	NT	NT				LC	LC									
Picumnus pygmaeus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus steindachneri	EN	EN	VU	VU	VU	LR/nt	NT																
Picumnus varzeae	EN	EN	LC	LC	LR/lc	LR/lc	LR/lc					EN	LC										
Picumnus cirratus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus dorbignyanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus temminckii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus albosquamatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Picumnus rufiventris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus fulvescens	NT	NT	NT	NT	VU	VU	NT			VU													
Picumnus limae	LC	LC	VU	VU	VU	VU	LR/lc	LC		VU						LC							
Picumnus nebulosus	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Picumnus castelnau	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Picumnus subtilis	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Picumnus olivaceus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picumnus granadensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Picumnus cinnamomeus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Verreauxia africana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sasia abnormis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sasia ochracea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Nesoctites micromegas	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Melanerpes candidus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes lewis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes herminieri	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc							LC									
Melanerpes portoricensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes erythrocephalus	NT	NT	NT	NT	LR/lc	LR/lc	LR/lc	LC	NT														
Melanerpes formicivorus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes pucherani	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Melanerpes cruentatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes flavifrons	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes cactorum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Melanerpes striatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Melanerpes radiolatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes chrysogenys	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes hypopolius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes pygmaeus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Melanerpes rubricapillus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes uropygialis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes carolinus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes superciliaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes aurifrons	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanerpes hoffmannii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sphyrapicus varius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sphyrapicus nuchalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sphyrapicus ruber	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sphyrapicus thyroideus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Xiphidiopicus percussus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Campethera punctuligera	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Campethera nubica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Campethera scriptoricauda	LC		NR	NR	NR	NR	LR/lc														LC		
Campethera abingoni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Campethera mombassica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Campethera notata	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc		NT														
Campethera maculosa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Campethera cailliautii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Campethera nivosa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Campethera caroli	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Geocolaptes olivaceus	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc		NT				LC										
Dendropicos elachus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos poecilolaemus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos abyssinicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos fuscescens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos lugubris	LC		NR	NR	NR	NR	LR/lc														LC		
Dendropicos stierlingi	NT	NT	NT	NT	LR/lc	LR/nt	CUSTOM													LR/nt			
Dendropicos namaquus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos pyrrhogaster	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos xantholophus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos spodocephalus	LC		NR	NR	NR	NR	LR/lc														LC		
Dendropicos griseocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos obsoletus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picoides temminckii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picoides maculatus	LC	LC	LC	LC	LR/lc	NR	NR					LC	LC										
Picoides ramsayi	VU	VU	VU	VU	VU	NR	NR																
Picoides nanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picoides moluccensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picoides canicapillus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picoides kizuki	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dryobates minor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC								LC		
Leiopicus auriceps	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocopos atratus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Leiopicus mahrattensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendropicos dorae	VU	VU	VU	VU	VU	LR/nt	NT		NT														
Dendrocopos hyperythrus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocopos darjellensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Leiopicus medius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Dendrocopos major	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocopos syriacus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocopos leucopterus	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Dendrocopos assimilis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendrocopos himalayensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis lignarius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis mixtus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dryobates nuttallii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dryobates scalaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dryobates pubescens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Leuconotopicus borealis	NT	VU	VU	VU	VU	VU	T		NT	VU		NT				VU		VU					
Leuconotopicus stricklandi	LC	LC	LC	LC	LR/lc	NR	NR						LC										
Leuconotopicus villosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Leuconotopicus albolarvatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Picoides arcticus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis callonotus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis dignus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis nigriceps	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Leuconotopicus fumigatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis passerinus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Veniliornis frontalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Veniliornis spilogaster	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis sanguineus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis kirkii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis chocoensis	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc																
Veniliornis cassini	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Veniliornis affinis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Veniliornis maculifrons	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Piculus simplex	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Piculus callopterus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Piculus litae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Piculus leucolaemus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Piculus flavigula	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Piculus chrysochloros	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Piculus aurulentus	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Colaptes auricularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Colaptes atricollis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Colaptes punctigula	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Colaptes chrysoides	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Colaptes fernandinae	VU	VU	VU	EN	EN	EN	T			EN									VU				
Colaptes pitius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Micropternus brachyurus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Celeus loricatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Celeus castaneus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Celeus elegans	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Celeus lugubris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Celeus flavus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Celeus galeatus	VU	VU	VU	VU	VU	EN	T			EN					VU								
Hylatomus pileatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
