species	2017	1996	1994	1990	1988	2018	2010	2006	1986	2016	2007	2020	2013	2009	2019	2004	1983	2008	2011	2014	2003
Ceylonosticta adami	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceylonosticta austeni	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceylonosticta hilaris	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Ceylonosticta montana	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceylonosticta submontana	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elattoneura leucostigma	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Erpetogomphus heterodon	LC	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gomphus graslinii	NA	VU	R	R	R	NA	NT	NT	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anisogomphus ceylonicus	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Heliogomphus lyratus	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliogomphus nietneri	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hylaeonympha magoi	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Junix elumbis	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Miocora aurea	NA	NA	NA	NA	NA	NA	NA	EN	NA	LC	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Lathrocordulia garrisoni	DD	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leptobasis melinogaster	NA	NA	NA	NA	NA	VU	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Lestes numidicus	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Macromia flinti	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mecistogaster amalia	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Megalagrion molokaiense	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megalagrion nesiotes	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Micromacromia flava	NA	VU	V	V	V	NT	DD	DD	V	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hypolestes clara	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Hypolestes trinitatis	NA	EN	I	I	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neoneura carnatica	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Neoneura maria	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neopetalia punctata	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nesocordulia villiersi	EN	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
