species	2013	1996	1994	2016	1990	1988	1986	1982	2017	2011	2014	2018	2009	2006	2010	2004	2000	2012	2002	2019	2015	2020	2007	2008	2003
Cylindraspis triserrata	NA	EX	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cylindraspis vosmaeri	NA	EX	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delma impar	NA	VU	V	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delma labialis	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delma torquata	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denisonia maculata	NA	VU	V	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dermatemys mawii	NA	EN	V	NA	V	V	V	V	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dermochelys coriacea	DD	EN	E	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	EN	NA	NA	NA	NA	NA
Diploglossus montisserrati	NA	CR	I	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paroplocephalus atriceps	NA	VU	V	VU	R	R	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Echiopsis curta	NA	VU	V	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Liopholis kintorei	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elachistodon westermanni	LC	DD	R	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elapognathus minor	NA	LR/nt	V	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elusor macrurus	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Emydoidea blandingii	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Emys orbicularis	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chilabothrus angulifer	NA	LR/nt	I	NA	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chilabothrus inornatus	NA	LR/nt	K	NA	E	E	E	NA	NA	NA	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chilabothrus monensis	NA	EN	R	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chilabothrus subflavus	NA	VU	V	NA	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chilabothrus granti	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eretmochelys imbricata	NA	CR	E	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA
Erymnochelys madagascariensis	NA	EN	I	NA	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA
Eulamprus leuraensis	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plestiodon kishinouyei	NA	LR/nt	R	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plestiodon longirostris	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
