species	2008	1996	2016	2010	1994	1990	1988	1986	1983	2020	2013	2004	2018	2006	2007	2015	2014	2017	2011	2019
Orconectes deanae	NA	VU	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orconectes hartfieldi	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orconectes holti	NA	VU	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orconectes packardi	NA	VU	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pacifastacus fortis	NA	CR	NA	CR	E	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pacifastacus nigrescens	NA	CR	NA	EX	Ex?	Ex?	Ex?	Ex?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palaemonetes antrorum	NA	EN	NA	NA	I	I	I	I	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palaemonetes cummingi	NA	VU	NA	NA	V	V	V	V	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palaemonias alabamae	NA	EN	NA	NA	E	I	I	I	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palaemonias ganteri	NA	EN	NA	NA	E	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parapinnixa affinis	NA	EN	NA	NA	K	K	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus acherontis	NA	EN	NA	EN	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus connus	NA	VU	NA	DD	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus apalachicolae	NA	VU	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus attiguus	NA	CR	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus barbiger	NA	VU	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus brazoriensis	NA	VU	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus cometes	NA	VU	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus delicatus	NA	CR	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus econfinae	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus erythrops	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus fitzpatricki	NA	VU	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus franzi	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus horsti	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus latipleurum	NA	VU	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus leitheuseri	NA	VU	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus milleri	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Procambarus morrisi	NA	CR	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
