species	EN_p_ext_0
Aprosmictus erythropterus	0.006444264192
Aprosmictus jonquillaceus	0.009223954687
Aptenodytes forsteri	0.002717398072
Aptenodytes patagonicus	0.003441362148
Apteryx australis	0.004624577905
Apteryx haastii	0.004811029711
Apteryx mantelli	0.005235448412
Apteryx owenii	0.005041463024
Apteryx rowi	0.004437872095
Apus acuticauda	0.011095167095
Apus affinis	0.011095167095
Apus alexandri	0.010889420131
Apus apus	0.005554748447
Apus balstoni	0.008400942357
Apus barbatus	0.010237462784
Apus batesi	0.011040273100
Apus berliozi	0.009617530448
Apus bradfieldi	0.010380331316
Apus caffer	0.011095167095
Apus horus	0.011095167095
Apus niansae	0.011095167095
Apus nipalensis	0.011095167095
Apus pacificus	0.010112202403
Apus pallidus	0.009097969628
Apus sladeniae	0.009805596237
Apus unicolor	0.010683486974
Aquila adalberti	0.002562611555
Aquila africana	0.004688218780
Aquila audax	0.002867372030
Aquila chrysaetos	0.002741771848
Aquila fasciata	0.003928815714
Aquila gurneyi	0.003296958729
Aquila heliaca	0.002679063594
Aquila nipalensis	0.003452543751
Aquila rapax	0.003508731929
