species	current_status
Cephalophus leucogaster	NT
Cephalophus natalensis	LC
Cephalophus niger	LC
Cephalophus nigrifrons	LC
Cephalophus ogilbyi	LC
Cephalophus rufilatus	LC
Cephalophus silvicultor	NT
Cephalophus spadix	EN
Cephalophus weynsi	LC
Cephalophus zebra	VU
Cephalorhynchus commersonii	LC
Cephalorhynchus eutropia	NT
Cephalorhynchus heavisidii	NT
Cephalorhynchus hectori	EN
Ceratotherium simum	NT
Cercartetus caudatus	LC
Cercartetus concinnus	LC
Cercartetus lepidus	LC
Cercartetus nanus	LC
Cercocebus agilis	LC
Cercocebus atys	NT
Cercocebus chrysogaster	DD
Cercocebus galeritus	EN
Cercocebus lunulatus	EN
Cercocebus sanjei	EN
Cercocebus torquatus	EN
Cercopithecus ascanius	LC
Cercopithecus campbelli	LC
Cercopithecus cephus	LC
Cercopithecus denti	LC
Cercopithecus diana	VU
Cercopithecus dryas	EN
Cercopithecus erythrogaster	VU
Cercopithecus erythrotis	VU
Cercopithecus hamlyni	VU
Cercopithecus lowei	VU
Cercopithecus mitis	LC
Cercopithecus mona	LC
Cercopithecus neglectus	LC
Cercopithecus nictitans	LC
Cercopithecus petaurista	LC
Cercopithecus roloway	CR
Cercopithecus sclateri	EN
Cerdocyon thous	LC
Cerradomys maracajuensis	LC
Cerradomys marinhus	LC
Cerradomys scotti	LC
Cerradomys subflavus	LC
Cervus albirostris	VU
Cervus canadensis	LC
Cervus elaphus	LC
Cervus hanglu	LC
Cervus nippon	LC
Chacodelphys formosa	NT
Chaerephon aloysiisabaudiae	LC
Chaerephon ansorgei	LC
Chaerephon atsinanana	LC
Chaerephon bemmeleni	LC
Chaerephon bivittatus	LC
Chaerephon bregullae	EN
Chaerephon chapini	LC
Chaerephon gallagheri	DD
Chaerephon jobensis	LC
Chaerephon jobimena	LC
Chaerephon johorensis	VU
Chaerephon major	LC
Chaerephon nigeriae	LC
Chaerephon plicatus	LC
Chaerephon pumilus	LC
Chaerephon russatus	DD
Chaerephon solomonis	LC
Chaerephon tomensis	EN
Chaetocauda sichuanensis	DD
Chaetodipus ammophilus	NT
Chaetodipus arenarius	LC
Chaetodipus artus	LC
Chaetodipus baileyi	LC
Chaetodipus californicus	LC
Chaetodipus eremicus	LC
Chaetodipus fallax	LC
Chaetodipus formosus	LC
Chaetodipus goldmani	NT
Chaetodipus hispidus	LC
Chaetodipus intermedius	LC
Chaetodipus lineatus	DD
Chaetodipus nelsoni	LC
Chaetodipus penicillatus	LC
Chaetodipus pernix	LC
Chaetodipus rudinoris	LC
Chaetodipus siccus	LC
Chaetodipus spinatus	LC
Chaetophractus vellerosus	LC
Chaetophractus villosus	LC
Chalinolobus dwyeri	NT
Chalinolobus gouldii	LC
Chalinolobus morio	LC
Chalinolobus neocaledonicus	EN
Chalinolobus nigrogriseus	LC
Chalinolobus picatus	NT
Chalinolobus tuberculatus	VU
Cheirogaleus crossleyi	DD
Cheirogaleus major	DD
Cheirogaleus medius	LC
Cheirogaleus minusculus	DD
Cheirogaleus sibreei	CR
Cheiromeles parvidens	LC
Cheiromeles torquatus	LC
Chelemys macronyx	LC
Chelemys megalonyx	NT
Cheracebus lucifer	LC
Cheracebus lugens	LC
Cheracebus medemi	VU
Cheracebus purinus	LC
Cheracebus regulus	LC
Cheracebus torquatus	LC
Chibchanomys orcesi	DD
Chibchanomys trichotis	DD
Chilomys instans	LC
Chilonatalus macer	DD
Chilonatalus micropus	VU
Chilonatalus tumidifrons	NT
Chimarrogale hantu	NT
Chimarrogale himalayica	LC
Chimarrogale phaeura	EN
Chimarrogale platycephalus	LC
Chimarrogale styani	LC
Chimarrogale sumatrana	DD
Chinchilla chinchilla	EN
Chinchilla lanigera	EN
Chinchillula sahamae	LC
Chionomys gud	LC
Chionomys nivalis	LC
Chionomys roberti	LC
Chiroderma doriae	LC
Chiroderma improvisum	EN
Chiroderma salvini	LC
Chiroderma trinitatum	LC
Chiroderma villosum	LC
Chiroderma vizottoi	DD
Chiromyscus chiropus	LC
Chironax melanocephalus	LC
Chironectes minimus	LC
Chiropodomys calamianensis	DD
Chiropodomys gliroides	LC
Chiropodomys karlkoopmani	VU
Chiropodomys major	LC
Chiropodomys muroides	DD
Chiropodomys pusillus	DD
Chiropotes albinasus	EN
Chiropotes chiropotes	LC
Chiropotes satanas	CR
Chiropotes utahickae	EN
Chiruromys forbesi	LC
Chiruromys lamia	LC
Chiruromys vates	LC
Chlamyphorus truncatus	DD
Chlorocebus aethiops	LC
Chlorocebus cynosuros	LC
Chlorocebus djamdjamensis	VU
Chlorocebus pygerythrus	LC
Chlorocebus sabaeus	LC
Chlorocebus tantalus	LC
Chlorotalpa duthieae	VU
Chlorotalpa sclateri	LC
Chodsigoa caovansunga	DD
Chodsigoa hypsibia	LC
Chodsigoa lamula	LC
Chodsigoa parca	LC
Chodsigoa parva	DD
Chodsigoa salenskii	DD
Chodsigoa smithii	NT
Chodsigoa sodalis	DD
Choeroniscus godmani	LC
Choeroniscus minor	LC
Choeroniscus periosus	VU
Choeronycteris mexicana	NT
Choeropsis liberiensis	EN
Choloepus didactylus	LC
Choloepus hoffmanni	LC
Chrotogale owstoni	EN
Chrotomys gonzalesi	NT
Chrotomys mindorensis	LC
Chrotomys sibuyanensis	DD
Chrotomys silaceus	LC
Chrotomys whiteheadi	LC
Chrotopterus auritus	LC
Chrysochloris asiatica	LC
Chrysochloris stuhlmanni	LC
Chrysochloris visagiei	DD
Chrysocyon brachyurus	NT
Chrysospalax trevelyani	EN
Chrysospalax villosus	VU
Cistugo lesueuri	LC
Cistugo seabrae	LC
Civettictis civetta	LC
Cloeotis percivali	LC
Clyomys laticeps	LC
Coccymys kirrhos	DD
Coccymys ruemmleri	LC
Coccymys shawmayeri	LC
Coelops frithii	LC
Coelops robinsoni	VU
Coendou baturitensis	DD
Coendou bicolor	LC
Coendou ichillus	DD
Coendou insidiosus	LC
Coendou melanurus	LC
Coendou mexicanus	LC
Coendou nycthemera	DD
Coendou prehensilis	LC
Coendou pruinosus	LC
Coendou quichua	DD
Coendou roosmalenorum	DD
Coendou rufescens	LC
