	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
641	Cephalophus natalensis								LC								LC					
642	Cephalophus niger								LC								LC					
643	Cephalophus nigrifrons								LC								LC					
644	Cephalophus ogilbyi								LC								LC					
645	Cephalophus rufilatus								LC								LC					
646	Cephalophus silvicultor								LC								NT					
647	Cephalophus spadix							EN	EN								EN					
648	Cephalophus weynsi								LC								LC					
649	Cephalophus zebra								VU								VU					
650	Cephalorhynchus commersonii								DD					DD				LC				
651	Cephalorhynchus eutropia								NT					NT				NT				
652	Cephalorhynchus heavisidii								DD					DD					NT			
653	Cephalorhynchus hectori								EN					EN								
654	Ceratotherium simum		NT	NT					NT			NT	NT								NT	
655	Cercartetus caudatus								LC								LC					
656	Cercartetus concinnus								LC								LC					
657	Cercartetus lepidus								LC								LC					
658	Cercartetus nanus								LC								LC					
659	Cercocebus agilis								LC											LC		
660	Cercocebus atys								NT								NT					
661	Cercocebus chrysogaster								DD													
662	Cercocebus galeritus								EN													
663	Cercocebus lunulatus								EN								EN					
664	Cercocebus sanjei								EN											EN		
665	Cercocebus torquatus								VU											EN		
666	Cercopithecus ascanius								LC											LC		
667	Cercopithecus campbelli								LC								LC					
668	Cercopithecus cephus								LC											LC	LC	
669	Cercopithecus denti								LC								LC					
670	Cercopithecus diana								VU								VU			EN		
671	Cercopithecus dryas								CR											EN		
672	Cercopithecus erythrogaster								VU													
673	Cercopithecus erythrotis								VU													
674	Cercopithecus hamlyni								VU											VU	VU	
675	Cercopithecus lowei								LC								LC			VU		
676	Cercopithecus mitis								LC											LC		
677	Cercopithecus mona								LC													
678	Cercopithecus neglectus								LC											LC		
679	Cercopithecus nictitans								LC											NT		
680	Cercopithecus petaurista								LC													
681	Cercopithecus pogonias																			NT	NT	
682	Cercopithecus roloway								EN								EN			CR		
683	Cercopithecus sclateri								VU											EN		
684	Cercopithecus wolfi																			NT		
685	Cerdocyon thous				LC				LC							LC						
686	Cerradomys maracajuensis								LC									LC				
687	Cerradomys marinhus								DD											LC		
688	Cerradomys scotti																	LC				
689	Cerradomys subflavus								LC								LC					
690	Cervus albirostris								VU						VU	VU						
691	Cervus canadensis																LC		LC			
692	Cervus elaphus																LC		LC			
693	Cervus hanglu																	LC				
694	Cervus nippon								LC							LC						
695	Chacodelphys formosa								VU								NT					
696	Chaerephon aloysiisabaudiae				NT				LC									LC				
